CreateMoji: string='型式', dSizeY=0.490000, nMojiShu=5, layer='B01-寸法', x=123.778285, y=47.073637
CreateMoji: string='パネル姿図', dSizeY=0.490000, nMojiShu=5, layer='B01-寸法', x=123.301737, y=40.192937
CreateMoji: string='A500RA', dSizeY=0.490000, nMojiShu=5, layer='B01-寸法', x=129.047602, y=47.073637
CreateMoji: string='タジマセイデンタイルC', dSizeY=0.490000, nMojiShu=5, layer='B01-寸法', x=128.369031, y=46.300371
CreateMoji: string='6000Nタイプ', dSizeY=0.490000, nMojiShu=5, layer='B01-寸法', x=128.779745, y=44.044089
CreateMoji: string='□500×500×35(四隅33.5)', dSizeY=0.490000, nMojiShu=5, layer='B01-寸法', x=127.065459, y=44.788719
CreateMoji: string='500', dSizeY=0.492126, nMojiShu=0, layer='B01-寸法', x=126.465418, y=39.298821
CreateMoji: string='500', dSizeY=0.492126, nMojiShu=0, layer='B01-寸法', x=129.780312, y=43.218663
CreateMoji: string='33.5', dSizeY=0.492126, nMojiShu=0, layer='B01-寸法', x=133.793148, y=43.256855
CreateMoji: string='アルミダイカスト', dSizeY=0.490000, nMojiShu=5, layer='B01-寸法', x=128.886888, y=45.545857
CreateMoji: string='(尺度 1:10)', dSizeY=0.490000, nMojiShu=5, layer='B01-寸法', x=122.766022, y=39.483616
CreateMoji: string='表面材', dSizeY=0.490000, nMojiShu=5, layer='B01-寸法', x=123.617571, y=46.300371
CreateMoji: string='材質', dSizeY=0.490000, nMojiShu=5, layer='B01-寸法', x=123.778285, y=45.545857
CreateMoji: string='寸法', dSizeY=0.490000, nMojiShu=5, layer='B01-寸法', x=123.778285, y=44.791344
CreateMoji: string='パネル強度', dSizeY=0.490000, nMojiShu=5, layer='B01-寸法', x=123.296142, y=44.036830
CreateMoji: string='35', dSizeY=0.492126, nMojiShu=0, layer='B01-寸法', x=134.685469, y=42.050456
CreateMoji: string='X1', dSizeY=5.905512, nMojiShu=0, layer='075_4-A_通芯符号', x=239.635449, y=65.446901
CreateMoji: string='X2', dSizeY=5.905512, nMojiShu=0, layer='075_4-A_通芯符号', x=298.864020, y=65.446901
CreateMoji: string='Y4', dSizeY=5.905512, nMojiShu=0, layer='075_4-A_通芯符号', x=192.077013, y=35.874336
CreateMoji: string='Y3', dSizeY=5.905512, nMojiShu=0, layer='075_4-A_通芯符号', x=192.162727, y=17.124336
CreateMoji: string='Y2', dSizeY=5.905512, nMojiShu=0, layer='075_4-A_通芯符号', x=192.162727, y=-53.188164
CreateMoji: string='Y1', dSizeY=5.905512, nMojiShu=0, layer='075_4-A_通芯符号', x=192.934155, y=-123.500664
CreateMoji: string='床板ボーダー部取合図　尺度１：５', dSizeY=0.328084, nMojiShu=0, layer='B01-寸法', x=127.190355, y=13.862785
CreateMoji: string='床板ボーダー部取合図　尺度１：５', dSizeY=0.328084, nMojiShu=0, layer='B01-寸法', x=125.043206, y=6.493936
CreateMoji: string='@500', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=129.578206, y=19.511412
CreateMoji: string='3', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=123.576675, y=19.979037
CreateMoji: string='切欠合せボーダー部', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=124.619720, y=19.995094
CreateMoji: string='フリーアクセス部', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=128.906632, y=19.991287
CreateMoji: string='H=200㎜', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=132.483123, y=16.116922
CreateMoji: string='@500', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=127.303679, y=11.474585
CreateMoji: string='切欠合せボーダー部', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=123.658691, y=11.970095
CreateMoji: string='フリーアクセス部', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=126.630206, y=11.954460
CreateMoji: string='3', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=123.176855, y=11.962045
CreateMoji: string='H=200㎜', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=130.069460, y=8.278591
CreateMoji: string='160㎜', dSizeY=0.250000, nMojiShu=8, layer='B01-寸法', x=124.079666, y=11.650538
CreateMoji: string='未満', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=124.688803, y=11.650538
CreateMoji: string='割付基準部取合図　尺度１：５', dSizeY=0.328084, nMojiShu=0, layer='B01-寸法', x=128.012368, y=26.665908
CreateMoji: string='基床面　レベル　±10㎜', dSizeY=0.246063, nMojiShu=0, layer='B-_01-寸法', x=127.038227, y=28.160039
CreateMoji: string='@500', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=128.453445, y=31.645627
CreateMoji: string='（座厚）', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=133.352580, y=30.390901
CreateMoji: string='（辺厚）', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=134.855540, y=29.825026
CreateMoji: string='33.5', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=133.042727, y=30.604648
CreateMoji: string='35', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=134.548168, y=30.143596
CreateMoji: string='H=200㎜', dSizeY=0.250000, nMojiShu=3, layer='B01-寸法', x=136.444091, y=28.847005
CreateMoji: string='M20　正芯ネジ脚', dSizeY=0.250000, nMojiShu=3, layer='B-_01-寸法', x=132.214640, y=28.462254
CreateMoji: string='ビス止め', dSizeY=0.246063, nMojiShu=0, layer='B-_01-寸法', x=124.471004, y=10.369565
CreateMoji: string='160㎜以上', dSizeY=0.250000, nMojiShu=8, layer='B-_01-寸法', x=125.145452, y=19.672488
CreateMoji: string='2階 フリーアクセスフロア割付図 S=1:50', dSizeY=5.741470, nMojiShu=0, layer='文字室名', x=235.226295, y=-146.098592
CreateMoji: string='タイル模様方向を示す', dSizeY=2.460630, nMojiShu=0, layer='A-_005-割付基準', x=228.941300, y=48.613621
CreateMoji: string='4800', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=269.593979, y=59.993213
CreateMoji: string='5625', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=204.760545, y=-87.437499
CreateMoji: string='5625', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=204.760545, y=-17.124999
CreateMoji: string='1500', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=204.760545, y=27.324874
CreateMoji: string='ダム操作室', dSizeY=3.937008, nMojiShu=0, layer='文字室名', x=308.779852, y=-63.635464
CreateMoji: string='通信機械室', dSizeY=3.937008, nMojiShu=0, layer='文字室名', x=307.453683, y=45.419506
CreateMoji: string='廊下', dSizeY=3.937008, nMojiShu=0, layer='文字室名', x=307.453683, y=-24.075773
CreateMoji: string='235', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=243.677735, y=55.716965
CreateMoji: string='4000(500x8)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=265.970565, y=55.983463
CreateMoji: string='235', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=296.615235, y=55.716965
CreateMoji: string='1000(500x2)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=247.147754, y=52.097584
CreateMoji: string='3000(500x6)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=272.207716, y=52.097584
CreateMoji: string='1400', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=248.271168, y=47.945207
CreateMoji: string='85', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=209.184262, y=35.283788
CreateMoji: string='2500(500x5)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=208.917765, y=14.381979
CreateMoji: string='440', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=209.184262, y=0.195142
CreateMoji: string='1500(500x3)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=213.353029, y=8.076301
CreateMoji: string='1000', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=213.619526, y=27.324554
CreateMoji: string='250', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=218.224888, y=20.116117
CreateMoji: string='割付基準', dSizeY=2.460630, nMojiShu=0, layer='A-_005-割付基準', x=319.777389, y=-19.036945
CreateMoji: string='2195', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=315.176943, y=4.306663
CreateMoji: string='500', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=285.754353, y=-29.458101
CreateMoji: string='500', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=292.004353, y=-29.458101
CreateMoji: string='235', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=296.614928, y=-29.458101
CreateMoji: string='900', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=294.495787, y=-21.696513
CreateMoji: string='225', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=240.084560, y=-136.829889
CreateMoji: string='4000(500x8)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=265.845565, y=-136.563391
CreateMoji: string='245', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=300.341538, y=-136.829889
CreateMoji: string='3000(500x6)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=259.582716, y=-132.876799
CreateMoji: string='1000(500x2)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=284.522754, y=-132.876799
CreateMoji: string='割付基準', dSizeY=2.460630, nMojiShu=0, layer='A-_005-割付基準', x=272.652808, y=-127.167914
CreateMoji: string='3390', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=260.768630, y=-129.456705
CreateMoji: string='389.5', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=209.281219, y=-118.645082
CreateMoji: string='7500(500x15)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=209.014722, y=-73.001935
CreateMoji: string='460', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=209.281219, y=-18.499258
CreateMoji: string='7000(500x14)', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=213.486556, y=-69.876935
CreateMoji: string='4570.5', dSizeY=2.460000, nMojiShu=1, layer='06-寸法-1', x=218.224888, y=-81.930456
CreateMoji: string='割付基準', dSizeY=2.460630, nMojiShu=0, layer='A-_005-割付基準', x=225.670968, y=-104.119900
CreateMoji: string='補強脚', dSizeY=2.460630, nMojiShu=0, layer='B01-寸法', x=274.118344, y=4.429062
CreateMoji: string='補強脚', dSizeY=2.460630, nMojiShu=0, layer='B01-寸法', x=274.552867, y=-21.382954
CreateMoji: string='補強脚', dSizeY=2.460630, nMojiShu=0, layer='B01-寸法', x=246.620459, y=-26.510831
CreateMoji: string='床上か床下なのかご確認願います', dSizeY=2.460630, nMojiShu=0, layer='B01-寸法', x=204.759403, y=-134.003129
CreateMoji: string='床上か床下なのかご確認願います', dSizeY=2.460630, nMojiShu=0, layer='B01-寸法', x=303.439019, y=-130.233993
CreateMoji: string='床上か床下なのかご確認願います', dSizeY=2.460630, nMojiShu=0, layer='B01-寸法', x=210.277815, y=-6.937028
CreateMoji: string='割付基準部取合図　尺度１：５', dSizeY=0.328084, nMojiShu=0, layer='B01-寸法', x=119.191414, y=-8.065082
